prompt,a,b,solution,carry_u,carry_d,completion,prediction,correct,bin
"2871+4261=7132
3935+829=4764
147+1253=1400
50+27=",50,27,77,False,False,"2871+4261=7132
3935+829=4764
147+1253=1400
50+27=77
1",77,True,"[0, 100)"
"3592+3079=6671
4848+3037=7885
2297+953=3250
64+14=",64,14,78,False,False,"3592+3079=6671
4848+3037=7885
2297+953=3250
64+14=78
1",78,True,"[0, 100)"
"1871+4333=6204
3456+3128=6584
1170+3139=4309
29+49=",29,49,78,True,False,"1871+4333=6204
3456+3128=6584
1170+3139=4309
29+49=78
1",78,True,"[0, 100)"
"2695+3882=6577
2997+3421=6418
2648+4594=7242
53+26=",53,26,79,False,False,"2695+3882=6577
2997+3421=6418
2648+4594=7242
53+26=79
2",79,True,"[0, 100)"
"1996+3309=5305
2919+1719=4638
1389+3696=5085
25+54=",25,54,79,False,False,"1996+3309=5305
2919+1719=4638
1389+3696=5085
25+54=79
1",79,True,"[0, 100)"
"3083+4186=7269
2296+1968=4264
1549+3147=4696
48+32=",48,32,80,True,False,"3083+4186=7269
2296+1968=4264
1549+3147=4696
48+32=80
1",80,True,"[0, 100)"
"2526+2349=4875
956+251=1207
1931+2430=4361
54+26=",54,26,80,True,False,"2526+2349=4875
956+251=1207
1931+2430=4361
54+26=80
1",80,True,"[0, 100)"
"1461+3028=4489
1076+362=1438
2771+2585=5356
62+19=",62,19,81,True,False,"1461+3028=4489
1076+362=1438
2771+2585=5356
62+19=81
1",81,True,"[0, 100)"
"2291+1137=3428
326+2185=2511
3699+4032=7731
26+55=",26,55,81,True,False,"2291+1137=3428
326+2185=2511
3699+4032=7731
26+55=81
1",81,True,"[0, 100)"
"3124+1639=4763
1787+4946=6733
2982+3875=6857
21+61=",21,61,82,False,False,"3124+1639=4763
1787+4946=6733
2982+3875=6857
21+61=82
1",82,True,"[0, 100)"
"700+602=1302
4375+3638=8013
71+3053=3124
54+28=",54,28,82,True,False,"700+602=1302
4375+3638=8013
71+3053=3124
54+28=82
1",82,True,"[0, 100)"
"326+1396=1722
2825+4898=7723
3694+1231=4925
37+46=",37,46,83,True,False,"326+1396=1722
2825+4898=7723
3694+1231=4925
37+46=83
1",83,True,"[0, 100)"
"1951+4120=6071
4046+2779=6825
369+4810=5179
58+25=",58,25,83,True,False,"1951+4120=6071
4046+2779=6825
369+4810=5179
58+25=83
1",83,True,"[0, 100)"
"3277+3471=6748
814+3708=4522
4836+1957=6793
78+6=",78,6,84,True,False,"3277+3471=6748
814+3708=4522
4836+1957=6793
78+6=84
1",84,True,"[0, 100)"
"1218+1333=2551
1017+185=1202
4548+565=5113
19+65=",19,65,84,True,False,"1218+1333=2551
1017+185=1202
4548+565=5113
19+65=84
1",84,True,"[0, 100)"
"4617+2341=6958
4096+1972=6068
382+3063=3445
84+1=",84,1,85,False,False,"4617+2341=6958
4096+1972=6068
382+3063=3445
84+1=85
1",85,True,"[0, 100)"
"1392+4654=6046
1041+4848=5889
451+1151=1602
32+53=",32,53,85,False,False,"1392+4654=6046
1041+4848=5889
451+1151=1602
32+53=85
1",85,True,"[0, 100)"
"1119+3721=4840
3976+1669=5645
109+2468=2577
22+64=",22,64,86,False,False,"1119+3721=4840
3976+1669=5645
109+2468=2577
22+64=86
1",86,True,"[0, 100)"
"4737+2460=7197
1552+979=2531
1454+1212=2666
22+64=",22,64,86,False,False,"4737+2460=7197
1552+979=2531
1454+1212=2666
22+64=86
1",86,True,"[0, 100)"
"2163+1727=3890
3296+352=3648
3814+3946=7760
49+38=",49,38,87,True,False,"2163+1727=3890
3296+352=3648
3814+3946=7760
49+38=87
4",87,True,"[0, 100)"
"1715+4644=6359
1261+4150=5411
559+1834=2393
56+31=",56,31,87,False,False,"1715+4644=6359
1261+4150=5411
559+1834=2393
56+31=87
1",87,True,"[0, 100)"
"2082+4085=6167
4550+2459=7009
1010+1331=2341
25+63=",25,63,88,False,False,"2082+4085=6167
4550+2459=7009
1010+1331=2341
25+63=88
1",88,True,"[0, 100)"
"1462+2120=3582
1568+988=2556
3565+201=3766
3+85=",3,85,88,False,False,"1462+2120=3582
1568+988=2556
3565+201=3766
3+85=88
8",88,True,"[0, 100)"
"3631+3693=7324
3594+3963=7557
793+4975=5768
6+83=",6,83,89,False,False,"3631+3693=7324
3594+3963=7557
793+4975=5768
6+83=91
9",91,False,"[0, 100)"
"1025+2246=3271
3497+3453=6950
4312+4273=8585
41+48=",41,48,89,False,False,"1025+2246=3271
3497+3453=6950
4312+4273=8585
41+48=89
1",89,True,"[0, 100)"
"1435+1779=3214
837+126=963
849+3564=4413
85+5=",85,5,90,True,False,"1435+1779=3214
837+126=963
849+3564=4413
85+5=90
8",90,True,"[0, 100)"
"98+4209=4307
4894+1405=6299
2816+1621=4437
11+79=",11,79,90,True,False,"98+4209=4307
4894+1405=6299
2816+1621=4437
11+79=90
1",90,True,"[0, 100)"
"2485+4424=6909
2573+4197=6770
1668+300=1968
22+69=",22,69,91,True,False,"2485+4424=6909
2573+4197=6770
1668+300=1968
22+69=91
1",91,True,"[0, 100)"
"3221+3144=6365
138+226=364
3930+22=3952
20+71=",20,71,91,False,False,"3221+3144=6365
138+226=364
3930+22=3952
20+71=91
1",91,True,"[0, 100)"
"1418+2289=3707
142+317=459
2335+4722=7057
4+88=",4,88,92,True,False,"1418+2289=3707
142+317=459
2335+4722=7057
4+88=92
1",92,True,"[0, 100)"
"3745+4362=8107
134+2595=2729
3907+479=4386
15+77=",15,77,92,True,False,"3745+4362=8107
134+2595=2729
3907+479=4386
15+77=92
1",92,True,"[0, 100)"
"767+364=1131
585+2128=2713
2977+1672=4649
72+21=",72,21,93,False,False,"767+364=1131
585+2128=2713
2977+1672=4649
72+21=93
1",93,True,"[0, 100)"
"2321+4434=6755
4245+3873=8118
2991+3795=6786
26+67=",26,67,93,True,False,"2321+4434=6755
4245+3873=8118
2991+3795=6786
26+67=93
2",93,True,"[0, 100)"
"182+3219=3401
4486+652=5138
404+1175=1579
30+64=",30,64,94,False,False,"182+3219=3401
4486+652=5138
404+1175=1579
30+64=94
1",94,True,"[0, 100)"
"3793+1739=5532
4387+3427=7814
2347+311=2658
71+23=",71,23,94,False,False,"3793+1739=5532
4387+3427=7814
2347+311=2658
71+23=94
1",94,True,"[0, 100)"
"3507+4481=7988
4537+1929=6466
2370+1423=3793
45+50=",45,50,95,False,False,"3507+4481=7988
4537+1929=6466
2370+1423=3793
45+50=95
2",95,True,"[0, 100)"
"3288+994=4282
1149+3287=4436
1481+1510=2991
2+93=",2,93,95,False,False,"3288+994=4282
1149+3287=4436
1481+1510=2991
2+93=95
1",95,True,"[0, 100)"
"1691+2669=4360
4275+1693=5968
3621+1656=5277
35+61=",35,61,96,False,False,"1691+2669=4360
4275+1693=5968
3621+1656=5277
35+61=96
1",96,True,"[0, 100)"
"1563+1855=3418
2199+4611=6810
3165+2211=5376
1+95=",1,95,96,False,False,"1563+1855=3418
2199+4611=6810
3165+2211=5376
1+95=96
1",96,True,"[0, 100)"
"900+744=1644
2959+4175=7134
3920+442=4362
96+1=",96,1,97,False,False,"900+744=1644
2959+4175=7134
3920+442=4362
96+1=97
1",97,True,"[0, 100)"
"2114+2671=4785
2416+3176=5592
1182+547=1729
86+11=",86,11,97,False,False,"2114+2671=4785
2416+3176=5592
1182+547=1729
86+11=97
1",97,True,"[0, 100)"
"2761+11=2772
2136+2320=4456
2186+2163=4349
59+39=",59,39,98,True,False,"2761+11=2772
2136+2320=4456
2186+2163=4349
59+39=98
2",98,True,"[0, 100)"
"3842+3585=7427
4743+2852=7595
1199+4141=5340
60+38=",60,38,98,False,False,"3842+3585=7427
4743+2852=7595
1199+4141=5340
60+38=98
1",98,True,"[0, 100)"
"4214+2041=6255
2332+4631=6963
2849+2108=4957
46+53=",46,53,99,False,False,"4214+2041=6255
2332+4631=6963
2849+2108=4957
46+53=99
1",99,True,"[0, 100)"
"2125+2894=5019
2813+4750=7563
618+1299=1917
65+34=",65,34,99,False,False,"2125+2894=5019
2813+4750=7563
618+1299=1917
65+34=99
1",99,True,"[0, 100)"
"1250+812=2062
3286+3829=7115
3458+1607=5065
97+3=",97,3,100,True,True,"1250+812=2062
3286+3829=7115
3458+1607=5065
97+3=100",100,True,"[100, 200)"
"3948+4970=8918
2220+1277=3497
130+246=376
93+7=",93,7,100,True,True,"3948+4970=8918
2220+1277=3497
130+246=376
93+7=100",100,True,"[100, 200)"
"486+3154=3640
2054+4228=6282
2508+1620=4128
70+31=",70,31,101,False,True,"486+3154=3640
2054+4228=6282
2508+1620=4128
70+31=101",101,True,"[100, 200)"
"4459+4826=9285
4834+1110=5944
4252+403=4655
87+14=",87,14,101,True,True,"4459+4826=9285
4834+1110=5944
4252+403=4655
87+14=101",101,True,"[100, 200)"
"2988+4870=7858
3997+2610=6607
2832+4242=7074
56+46=",56,46,102,True,True,"2988+4870=7858
3997+2610=6607
2832+4242=7074
56+46=102",102,True,"[100, 200)"
"1881+1957=3838
3961+4808=8769
1498+3991=5489
75+27=",75,27,102,True,True,"1881+1957=3838
3961+4808=8769
1498+3991=5489
75+27=102",102,True,"[100, 200)"
"1518+1068=2586
479+1117=1596
361+1707=2068
1+102=",1,102,103,False,False,"1518+1068=2586
479+1117=1596
361+1707=2068
1+102=103",103,True,"[100, 200)"
"3070+1411=4481
3580+1834=5414
4377+1571=5948
53+50=",53,50,103,False,True,"3070+1411=4481
3580+1834=5414
4377+1571=5948
53+50=103",103,True,"[100, 200)"
"4080+303=4383
2217+1136=3353
593+2513=3106
41+63=",41,63,104,False,True,"4080+303=4383
2217+1136=3353
593+2513=3106
41+63=104",104,True,"[100, 200)"
"899+2568=3467
653+1148=1801
79+3287=3366
22+82=",22,82,104,False,True,"899+2568=3467
653+1148=1801
79+3287=3366
22+82=104",104,True,"[100, 200)"
"2971+1109=4080
1610+1359=2969
4735+2240=6975
44+61=",44,61,105,False,True,"2971+1109=4080
1610+1359=2969
4735+2240=6975
44+61=105",105,True,"[100, 200)"
"2864+4692=7556
4882+791=5673
426+2077=2503
16+89=",16,89,105,True,True,"2864+4692=7556
4882+791=5673
426+2077=2503
16+89=105",105,True,"[100, 200)"
"3959+1537=5496
773+4183=4956
544+1564=2108
104+2=",104,2,106,False,False,"3959+1537=5496
773+4183=4956
544+1564=2108
104+2=106",106,True,"[100, 200)"
"2979+3637=6616
404+1486=1890
2805+4666=7471
92+14=",92,14,106,False,True,"2979+3637=6616
404+1486=1890
2805+4666=7471
92+14=102",102,False,"[100, 200)"
"1971+17=1988
3991+3838=7829
812+1448=2260
69+38=",69,38,107,True,True,"1971+17=1988
3991+3838=7829
812+1448=2260
69+38=107",107,True,"[100, 200)"
"4020+1050=5070
4731+1447=6178
2610+2281=4891
82+25=",82,25,107,False,True,"4020+1050=5070
4731+1447=6178
2610+2281=4891
82+25=107",107,True,"[100, 200)"
"594+390=984
3796+3261=7057
3566+3021=6587
5+103=",5,103,108,False,False,"594+390=984
3796+3261=7057
3566+3021=6587
5+103=108",108,True,"[100, 200)"
"824+304=1128
4734+953=5687
3090+2549=5639
85+23=",85,23,108,False,True,"824+304=1128
4734+953=5687
3090+2549=5639
85+23=108",108,True,"[100, 200)"
"3669+4056=7725
3883+1=3884
3820+889=4709
35+74=",35,74,109,False,True,"3669+4056=7725
3883+1=3884
3820+889=4709
35+74=109",109,True,"[100, 200)"
"3332+324=3656
1260+3814=5074
1535+1711=3246
10+99=",10,99,109,False,True,"3332+324=3656
1260+3814=5074
1535+1711=3246
10+99=109",109,True,"[100, 200)"
"2878+2539=5417
262+3959=4221
3873+4897=8770
99+11=",99,11,110,True,True,"2878+2539=5417
262+3959=4221
3873+4897=8770
99+11=110",110,True,"[100, 200)"
"1899+108=2007
3860+2429=6289
2788+4385=7173
8+102=",8,102,110,True,False,"1899+108=2007
3860+2429=6289
2788+4385=7173
8+102=110",110,True,"[100, 200)"
"2672+4152=6824
3584+1258=4842
4716+2857=7573
39+72=",39,72,111,True,True,"2672+4152=6824
3584+1258=4842
4716+2857=7573
39+72=111",111,True,"[100, 200)"
"701+3994=4695
2728+3888=6616
1931+4437=6368
1+110=",1,110,111,False,False,"701+3994=4695
2728+3888=6616
1931+4437=6368
1+110=111",111,True,"[100, 200)"
"4045+2566=6611
389+2196=2585
4620+4608=9228
51+61=",51,61,112,False,True,"4045+2566=6611
389+2196=2585
4620+4608=9228
51+61=112",112,True,"[100, 200)"
"2293+2995=5288
825+2680=3505
4838+3226=8064
25+87=",25,87,112,True,True,"2293+2995=5288
825+2680=3505
4838+3226=8064
25+87=112",112,True,"[100, 200)"
"4697+386=5083
2327+1529=3856
415+4606=5021
28+85=",28,85,113,True,True,"4697+386=5083
2327+1529=3856
415+4606=5021
28+85=113",113,True,"[100, 200)"
"3757+1730=5487
1949+1320=3269
4191+4410=8601
6+107=",6,107,113,True,False,"3757+1730=5487
1949+1320=3269
4191+4410=8601
6+107=113",113,True,"[100, 200)"
"1504+863=2367
3870+4039=7909
568+1724=2292
77+37=",77,37,114,True,True,"1504+863=2367
3870+4039=7909
568+1724=2292
77+37=114",114,True,"[100, 200)"
"690+2702=3392
4149+3319=7468
2684+4382=7066
88+26=",88,26,114,True,True,"690+2702=3392
4149+3319=7468
2684+4382=7066
88+26=114",114,True,"[100, 200)"
"1453+4612=6065
215+1697=1912
4199+2960=7159
111+4=",111,4,115,False,False,"1453+4612=6065
215+1697=1912
4199+2960=7159
111+4=115",115,True,"[100, 200)"
"2483+4935=7418
4028+4557=8585
3760+1594=5354
66+49=",66,49,115,True,True,"2483+4935=7418
4028+4557=8585
3760+1594=5354
66+49=115",115,True,"[100, 200)"
"3413+4651=8064
660+4383=5043
3357+1514=4871
29+87=",29,87,116,True,True,"3413+4651=8064
660+4383=5043
3357+1514=4871
29+87=116",116,True,"[100, 200)"
"4959+1450=6409
4006+276=4282
2140+3989=6129
41+75=",41,75,116,False,True,"4959+1450=6409
4006+276=4282
2140+3989=6129
41+75=116",116,True,"[100, 200)"
"1536+2724=4260
3850+1100=4950
4188+4242=8430
52+65=",52,65,117,False,True,"1536+2724=4260
3850+1100=4950
4188+4242=8430
52+65=117",117,True,"[100, 200)"
"4662+4176=8838
1955+3667=5622
3432+210=3642
93+24=",93,24,117,False,True,"4662+4176=8838
1955+3667=5622
3432+210=3642
93+24=117",117,True,"[100, 200)"
"3754+2687=6441
385+4707=5092
803+1886=2689
26+92=",26,92,118,False,True,"3754+2687=6441
385+4707=5092
803+1886=2689
26+92=118",118,True,"[100, 200)"
"3576+3717=7293
2075+75=2150
4436+3491=7927
74+44=",74,44,118,False,True,"3576+3717=7293
2075+75=2150
4436+3491=7927
74+44=118",118,True,"[100, 200)"
"1234+4012=5246
7+4527=4534
201+2686=2887
105+14=",105,14,119,False,False,"1234+4012=5246
7+4527=4534
201+2686=2887
105+14=119",119,True,"[100, 200)"
"3613+4319=7932
1835+579=2414
2790+1819=4609
79+40=",79,40,119,False,True,"3613+4319=7932
1835+579=2414
2790+1819=4609
79+40=119",119,True,"[100, 200)"
"684+1592=2276
699+2996=3695
1336+1252=2588
111+9=",111,9,120,True,False,"684+1592=2276
699+2996=3695
1336+1252=2588
111+9=120",120,True,"[100, 200)"
"3161+2290=5451
4519+1444=5963
3317+932=4249
75+45=",75,45,120,True,True,"3161+2290=5451
4519+1444=5963
3317+932=4249
75+45=120",120,True,"[100, 200)"
"2420+1842=4262
201+2482=2683
2743+4543=7286
17+104=",17,104,121,True,False,"2420+1842=4262
201+2482=2683
2743+4543=7286
17+104=121",121,True,"[100, 200)"
"3760+2652=6412
423+195=618
1069+4032=5101
63+58=",63,58,121,True,True,"3760+2652=6412
423+195=618
1069+4032=5101
63+58=121",121,True,"[100, 200)"
"1361+3171=4532
3024+4974=7998
2606+1776=4382
3+119=",3,119,122,True,False,"1361+3171=4532
3024+4974=7998
2606+1776=4382
3+119=122",122,True,"[100, 200)"
"568+2953=3521
3931+3908=7839
2559+2414=4973
20+102=",20,102,122,False,False,"568+2953=3521
3931+3908=7839
2559+2414=4973
20+102=122",122,True,"[100, 200)"
"3163+505=3668
4739+4253=8992
4511+479=4990
50+73=",50,73,123,False,True,"3163+505=3668
4739+4253=8992
4511+479=4990
50+73=123",123,True,"[100, 200)"
"1866+3127=4993
712+863=1575
2533+1984=4517
98+25=",98,25,123,True,True,"1866+3127=4993
712+863=1575
2533+1984=4517
98+25=123",123,True,"[100, 200)"
"1253+2196=3449
1737+4795=6532
4262+2071=6333
58+66=",58,66,124,True,True,"1253+2196=3449
1737+4795=6532
4262+2071=6333
58+66=124",124,True,"[100, 200)"
"2572+915=3487
3930+498=4428
394+3753=4147
61+63=",61,63,124,False,True,"2572+915=3487
3930+498=4428
394+3753=4147
61+63=124",124,True,"[100, 200)"
"2822+4067=6889
2269+4130=6399
2735+1850=4585
33+92=",33,92,125,False,True,"2822+4067=6889
2269+4130=6399
2735+1850=4585
33+92=125",125,True,"[100, 200)"
"276+4794=5070
3971+903=4874
4700+2218=6918
17+108=",17,108,125,True,False,"276+4794=5070
3971+903=4874
4700+2218=6918
17+108=125",125,True,"[100, 200)"
"773+1534=2307
4674+1013=5687
3201+4572=7773
7+119=",7,119,126,True,False,"773+1534=2307
4674+1013=5687
3201+4572=7773
7+119=126",126,True,"[100, 200)"
"4424+916=5340
34+3229=3263
3291+3070=6361
70+56=",70,56,126,False,True,"4424+916=5340
34+3229=3263
3291+3070=6361
70+56=126",126,True,"[100, 200)"
"2504+1808=4312
3607+4511=8118
3904+927=4831
82+45=",82,45,127,False,True,"2504+1808=4312
3607+4511=8118
3904+927=4831
82+45=127",127,True,"[100, 200)"
"925+2921=3846
639+1698=2337
4529+1783=6312
44+83=",44,83,127,False,True,"925+2921=3846
639+1698=2337
4529+1783=6312
44+83=127",127,True,"[100, 200)"
"2741+2510=5251
3395+4891=8286
3225+2419=5644
61+67=",61,67,128,False,True,"2741+2510=5251
3395+4891=8286
3225+2419=5644
61+67=128",128,True,"[100, 200)"
"1946+3915=5861
1018+3135=4153
4286+2618=6904
110+18=",110,18,128,False,False,"1946+3915=5861
1018+3135=4153
4286+2618=6904
110+18=128",128,True,"[100, 200)"
"4891+4194=9085
1616+2496=4112
1131+2708=3839
40+89=",40,89,129,False,True,"4891+4194=9085
1616+2496=4112
1131+2708=3839
40+89=129",129,True,"[100, 200)"
"878+1962=2840
675+3048=3723
4429+3142=7571
64+65=",64,65,129,False,True,"878+1962=2840
675+3048=3723
4429+3142=7571
64+65=129",129,True,"[100, 200)"
"1797+4213=6010
2211+4498=6709
3243+4336=7579
67+63=",67,63,130,True,True,"1797+4213=6010
2211+4498=6709
3243+4336=7579
67+63=130",130,True,"[100, 200)"
"1796+701=2497
2776+3717=6493
4042+2908=6950
78+52=",78,52,130,True,True,"1796+701=2497
2776+3717=6493
4042+2908=6950
78+52=130",130,True,"[100, 200)"
"541+1092=1633
3782+2502=6284
562+4093=4655
60+71=",60,71,131,False,True,"541+1092=1633
3782+2502=6284
562+4093=4655
60+71=131",131,True,"[100, 200)"
"3362+2644=6006
3099+1139=4238
365+4179=4544
69+62=",69,62,131,True,True,"3362+2644=6006
3099+1139=4238
365+4179=4544
69+62=131",131,True,"[100, 200)"
"2337+4008=6345
2777+31=2808
3705+742=4447
114+18=",114,18,132,True,False,"2337+4008=6345
2777+31=2808
3705+742=4447
114+18=132",132,True,"[100, 200)"
"4652+1852=6504
4197+1954=6151
1558+2528=4086
76+56=",76,56,132,True,True,"4652+1852=6504
4197+1954=6151
1558+2528=4086
76+56=132",132,True,"[100, 200)"
"60+4265=4325
606+324=930
4657+3754=8411
33+100=",33,100,133,False,False,"60+4265=4325
606+324=930
4657+3754=8411
33+100=133",133,True,"[100, 200)"
"3653+2633=6286
2646+1949=4595
1189+4105=5294
3+130=",3,130,133,False,False,"3653+2633=6286
2646+1949=4595
1189+4105=5294
3+130=133",133,True,"[100, 200)"
"1413+4359=5772
2877+940=3817
445+3788=4233
71+63=",71,63,134,False,True,"1413+4359=5772
2877+940=3817
445+3788=4233
71+63=134",134,True,"[100, 200)"
"3214+2155=5369
1951+4829=6780
1366+2912=4278
4+130=",4,130,134,False,False,"3214+2155=5369
1951+4829=6780
1366+2912=4278
4+130=134",134,True,"[100, 200)"
"751+4039=4790
677+1159=1836
3053+1663=4716
50+85=",50,85,135,False,True,"751+4039=4790
677+1159=1836
3053+1663=4716
50+85=135",135,True,"[100, 200)"
"1914+4912=6826
4055+225=4280
4359+2857=7216
121+14=",121,14,135,False,False,"1914+4912=6826
4055+225=4280
4359+2857=7216
121+14=135",135,True,"[100, 200)"
"4075+842=4917
124+3371=3495
3919+619=4538
83+53=",83,53,136,False,True,"4075+842=4917
124+3371=3495
3919+619=4538
83+53=136",136,True,"[100, 200)"
"1220+185=1405
2621+4056=6677
428+2686=3114
58+78=",58,78,136,True,True,"1220+185=1405
2621+4056=6677
428+2686=3114
58+78=136",136,True,"[100, 200)"
"2552+3042=5594
1883+2845=4728
3791+3111=6902
46+91=",46,91,137,False,True,"2552+3042=5594
1883+2845=4728
3791+3111=6902
46+91=137",137,True,"[100, 200)"
"3906+2461=6367
4741+4755=9496
4835+3799=8634
92+45=",92,45,137,False,True,"3906+2461=6367
4741+4755=9496
4835+3799=8634
92+45=137",137,True,"[100, 200)"
"1477+1720=3197
3843+2706=6549
1050+1341=2391
74+64=",74,64,138,False,True,"1477+1720=3197
3843+2706=6549
1050+1341=2391
74+64=138",138,True,"[100, 200)"
"611+1520=2131
1438+1903=3341
3561+3450=7011
48+90=",48,90,138,False,True,"611+1520=2131
1438+1903=3341
3561+3450=7011
48+90=138",138,True,"[100, 200)"
"3778+3010=6788
3056+2746=5802
401+1138=1539
131+8=",131,8,139,False,False,"3778+3010=6788
3056+2746=5802
401+1138=1539
131+8=139",139,True,"[100, 200)"
"828+922=1750
132+56=188
75+3664=3739
134+5=",134,5,139,False,False,"828+922=1750
132+56=188
75+3664=3739
134+5=139",139,True,"[100, 200)"
"406+471=877
4392+1271=5663
1644+1411=3055
103+37=",103,37,140,True,False,"406+471=877
4392+1271=5663
1644+1411=3055
103+37=140",140,True,"[100, 200)"
"4784+359=5143
452+1234=1686
1161+744=1905
56+84=",56,84,140,True,True,"4784+359=5143
452+1234=1686
1161+744=1905
56+84=140",140,True,"[100, 200)"
"628+2373=3001
1656+3726=5382
1435+374=1809
91+50=",91,50,141,False,True,"628+2373=3001
1656+3726=5382
1435+374=1809
91+50=141",141,True,"[100, 200)"
"3668+4317=7985
460+3729=4189
4586+3587=8173
124+17=",124,17,141,True,False,"3668+4317=7985
460+3729=4189
4586+3587=8173
124+17=141",141,True,"[100, 200)"
"1102+4204=5306
2503+686=3189
1176+3089=4265
130+12=",130,12,142,False,False,"1102+4204=5306
2503+686=3189
1176+3089=4265
130+12=142",142,True,"[100, 200)"
"2888+2943=5831
1015+2374=3389
1981+4861=6842
15+127=",15,127,142,True,False,"2888+2943=5831
1015+2374=3389
1981+4861=6842
15+127=142",142,True,"[100, 200)"
"363+4990=5353
2542+3499=6041
2238+907=3145
1+142=",1,142,143,False,False,"363+4990=5353
2542+3499=6041
2238+907=3145
1+142=143",143,True,"[100, 200)"
"330+1308=1638
4081+2543=6624
2498+2499=4997
129+14=",129,14,143,True,False,"330+1308=1638
4081+2543=6624
2498+2499=4997
129+14=143",143,True,"[100, 200)"
"3294+4948=8242
2208+1876=4084
4716+626=5342
68+76=",68,76,144,True,True,"3294+4948=8242
2208+1876=4084
4716+626=5342
68+76=144",144,True,"[100, 200)"
"3878+2544=6422
522+3631=4153
4672+2170=6842
99+45=",99,45,144,True,True,"3878+2544=6422
522+3631=4153
4672+2170=6842
99+45=144",144,True,"[100, 200)"
"4296+2688=6984
4600+106=4706
574+3407=3981
135+10=",135,10,145,False,False,"4296+2688=6984
4600+106=4706
574+3407=3981
135+10=145",145,True,"[100, 200)"
"228+438=666
1182+1240=2422
274+3402=3676
25+120=",25,120,145,False,False,"228+438=666
1182+1240=2422
274+3402=3676
25+120=145",145,True,"[100, 200)"
"2516+2574=5090
2678+3407=6085
2315+3321=5636
78+68=",78,68,146,True,True,"2516+2574=5090
2678+3407=6085
2315+3321=5636
78+68=146",146,True,"[100, 200)"
"3574+1326=4900
4917+988=5905
3191+12=3203
52+94=",52,94,146,False,True,"3574+1326=4900
4917+988=5905
3191+12=3203
52+94=146",146,True,"[100, 200)"
"2980+1419=4399
1774+1097=2871
3310+2601=5911
122+25=",122,25,147,False,False,"2980+1419=4399
1774+1097=2871
3310+2601=5911
122+25=147",147,True,"[100, 200)"
"1674+731=2405
3267+4653=7920
3483+2630=6113
29+118=",29,118,147,True,False,"1674+731=2405
3267+4653=7920
3483+2630=6113
29+118=147",147,True,"[100, 200)"
"644+2653=3297
4614+4705=9319
4544+1297=5841
5+143=",5,143,148,False,False,"644+2653=3297
4614+4705=9319
4544+1297=5841
5+143=148",148,True,"[100, 200)"
"2295+1733=4028
1059+48=1107
74+2098=2172
24+124=",24,124,148,False,False,"2295+1733=4028
1059+48=1107
74+2098=2172
24+124=148",148,True,"[100, 200)"
"4462+790=5252
1880+200=2080
1503+503=2006
102+47=",102,47,149,False,False,"4462+790=5252
1880+200=2080
1503+503=2006
102+47=149",149,True,"[100, 200)"
"692+3750=4442
3006+2755=5761
4735+4293=9028
9+140=",9,140,149,False,False,"692+3750=4442
3006+2755=5761
4735+4293=9028
9+140=149",149,True,"[100, 200)"
"4763+1166=5929
168+4236=4404
2317+991=3308
96+54=",96,54,150,True,True,"4763+1166=5929
168+4236=4404
2317+991=3308
96+54=150",150,True,"[100, 200)"
"288+6=294
3798+3951=7749
2074+1469=3543
80+70=",80,70,150,False,True,"288+6=294
3798+3951=7749
2074+1469=3543
80+70=150",150,True,"[100, 200)"
"1510+4866=6376
4467+926=5393
2718+380=3098
14+137=",14,137,151,True,False,"1510+4866=6376
4467+926=5393
2718+380=3098
14+137=151",151,True,"[100, 200)"
